[NODE_AGENT bob-agent-v1] Starting node 'data-mainpc' (worker) against orchestrator http://100.111.201.26:5080
[NODE_AGENT bob-agent-v1] Registering node 'data-mainpc' with Prime Bob...
[NODE_AGENT] Registration OK for 'data-mainpc': 200
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat failed for 'data-mainpc': ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5873MB
[NODE_AGENT] Heartbeat failed for 'data-mainpc': ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5879MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5876MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5876MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.02, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5869MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5869MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5869MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5869MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5869MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.00, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5870MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5867MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5868MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5868MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5876MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5878MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5874MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5873MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5871MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5872MB
[NODE_AGENT] Heartbeat OK for 'data-mainpc': load=0.01, free=5875MB
